电影名称,评分,评价人数,引用语,数据类别,数据状态,评分类别
肖申克的救赎,9.7,3230138,无,优质电影,已清洗,极好
霸王别姬,9.6,2384168,无,优质电影,已清洗,极好
泰坦尼克号,9.5,2453529,无,优质电影,已清洗,极好
阿甘正传,9.5,2394097,无,优质电影,已清洗,极好
千与千寻,9.4,2494056,无,优质电影,已清洗,极好
美丽人生,9.5,1459505,无,优质电影,已清洗,极好
星际穿越,9.4,2133801,无,优质电影,已清洗,极好
这个杀手不太冷,9.4,2518325,无,优质电影,已清洗,极好
盗梦空间,9.4,2288888,无,优质电影,已清洗,极好
楚门的世界,9.4,1977421,无,优质电影,已清洗,极好
辛德勒的名单,9.5,1230043,无,优质电影,已清洗,极好
忠犬八公的故事,9.4,1522269,无,优质电影,已清洗,极好
海上钢琴师,9.3,1852702,无,优质电影,已清洗,极好
疯狂动物城,9.3,2226927,无,优质电影,已清洗,极好
三傻大闹宝莱坞,9.2,2046949,无,优质电影,已清洗,极好
机器人总动员,9.3,1463716,无,优质电影,已清洗,极好
放牛班的春天,9.3,1451191,无,优质电影,已清洗,极好
无间道,9.3,1537211,无,优质电影,已清洗,极好
控方证人,9.6,690662,无,优质电影,已清洗,极好
大话西游之大圣娶亲,9.2,1685389,无,优质电影,已清洗,极好
熔炉,9.3,1022645,无,优质电影,已清洗,极好
寻梦环游记,9.1,1939282,无,优质电影,已清洗,极好
触不可及,9.3,1272089,无,优质电影,已清洗,极好
教父,9.3,1086621,无,优质电影,已清洗,极好
当幸福来敲门,9.1,1664072,无,优质电影,已清洗,极好
末代皇帝,9.3,1010518,无,优质电影,已清洗,极好
哈利·波特与魔法石,9.2,1393276,无,优质电影,已清洗,极好
龙猫,9.2,1391565,无,优质电影,已清洗,极好
活着,9.3,953693,无,优质电影,已清洗,极好
怦然心动,9.1,2020988,无,优质电影,已清洗,极好
蝙蝠侠：黑暗骑士,9.2,1175622,无,优质电影,已清洗,极好
指环王3：王者无敌,9.3,895609,无,优质电影,已清洗,极好
我不是药神,9.0,2319898,无,优质电影,已清洗,优秀
乱世佳人,9.3,779460,无,优质电影,已清洗,极好
飞屋环游记,9.1,1474058,无,优质电影,已清洗,极好
让子弹飞,9.0,1892406,无,优质电影,已清洗,优秀
哈尔的移动城堡,9.1,1264579,无,优质电影,已清洗,极好
十二怒汉,9.4,566777,无,优质电影,已清洗,极好
素媛,9.3,764892,无,优质电影,已清洗,极好
海蒂和爷爷,9.3,757890,无,优质电影,已清洗,极好
猫鼠游戏,9.1,1185673,无,优质电影,已清洗,极好
天空之城,9.2,993760,无,优质电影,已清洗,极好
鬼子来了,9.3,704060,无,优质电影,已清洗,极好
摔跤吧！爸爸,9.0,1721211,无,优质电影,已清洗,优秀
少年派的奇幻漂流,9.1,1471322,无,优质电影,已清洗,极好
钢琴家,9.3,736690,无,优质电影,已清洗,极好
指环王2：双塔奇兵,9.2,843061,无,优质电影,已清洗,极好
