序号,公司名称,职位名称,薪资范围,工作地点,数据来源,爬取方式,爬取时间
1,未知公司,订阅【Python】求职快人一步,面议,杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
2,未知公司,职位名称：Python,面议,备注：杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
3,华为科技有限公司,【OD】ai软件开发 - Python,-K·薪,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
4,杭州橙风信息科技,python 工程师,-K,杭州·萧山区·奥体中心,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
5,未知公司,Python 工程师,-K,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
6,未知公司,Python 工程师,-K,杭州·余杭区·仓前,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
7,杭州职映科技有限公司,ai应用工程师/python,-K·薪,杭州·上城区·九堡,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
8,未知公司,Python（ AI Agent ）-杭州,-K,杭州·拱墅区·文一路,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
9,未知公司,Python-【国企AI项目】-滨江区,-K,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
10,讯盟科技,AI应用后端工程师（python）,-K·薪,杭州·西湖区·西溪,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
11,帕奇拉科技,Python Web 初级工程师,-K·薪,杭州·拱墅区·水晶城,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
12,未知公司,资深 Python 开发工程师,-K·薪,杭州·西湖区·西溪,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
13,未知公司,Python 工程师（AI Agent 方向）,-K,杭州·余杭区·仓前,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
14,未知公司,Python/C/C++开发工程师,-K·薪,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
15,玄峰科技,Python 实习生（AI agent方向）,面议,杭州·余杭区·仓前,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
16,华为终端有限公司,AI Infra工程师（Kubernetes/Python & Go）,-K·薪,杭州·滨江区·长河,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
17,未知公司,【OD】ai软件开发 - Python,-K·薪,杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
18,未知公司,AI,面议,杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
19,未知公司,Python,面议,杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
20,未知公司,昇腾计算产业是基于昇腾系列（HUAWEI Ascend）处理器和基础软件构建的全栈 AI计算基础设施、行业应用及服务，包括昇腾AI系列处理器、系列硬件、CANN（Compute Architecture for Neural Networks，异构计算架构）、AI计算框架、应用使能、开发工具链、管理运维工具、行业应用及服务等全产业链。,面议,杭州,BOSS直聘,BOSS直聘-手动验证版,2025-12-02 21:35:16
